address,area_sqft,baths,beds,city,days_on_zillow,home_type,img_url,latitude,longitude,lot_area_unit,lot_area_value,price,price_numeric,state,status_text,status_type,url,year_built,zipcode,zpid
"603 W Clark St, Champaign, IL 61820",1820.0,2.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/54361fd42c577e39b4862942be0d0234-p_e.jpg,40.115032,-88.252205,sqft,5280.0,"$185,000",185000.0,IL,Price Change,FOR_SALE,https://www.zillow.com/homedetails/603-W-Clark-St-Champaign-IL-61820/3225116_zpid/,,61820,3225116
"2009 Southwood Dr, Champaign, IL 61821",961.0,1.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/216acfe351a1273dd87b2a33d63875d5-p_e.jpg,40.095284,-88.28198,sqft,7200.0,"$125,000",125000.0,IL,New,FOR_SALE,https://www.zillow.com/homedetails/2009-Southwood-Dr-Champaign-IL-61821/3230639_zpid/,,61821,3230639
"1212 W Healey St, Champaign, IL 61821",2641.0,3.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e551358bdeecc0a0e9d3b3456f2d5abf-p_e.jpg,40.112026,-88.26641,acres,0.275,"$450,000",450000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1212-W-Healey-St-Champaign-IL-61821/3226892_zpid/,,61821,3226892
"4700 Chestnut Grove Dr, Champaign, IL 61822",3105.0,5.0,5.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/97aa0ed2a74e3bed116578a56d019765-p_e.jpg,40.095238,-88.32417,,,"$765,000",765000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/4700-Chestnut-Grove-Dr-Champaign-IL-61822/70052418_zpid/,,61822,70052418
"615 Erin Dr, Champaign, IL 61822",1332.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f15f1eb64d9bd2fa210751ded7375065-p_e.jpg,40.123383,-88.30393,,,"$239,900",239900.0,IL,Price Change,FOR_SALE,https://www.zillow.com/homedetails/615-Erin-Dr-Champaign-IL-61822/3221297_zpid/,,61822,3221297
"2501 Woodridge Pl, Champaign, IL 61822",2300.0,4.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/162076bfe07a12151e808f9e4e147b96-p_e.jpg,40.07954,-88.28713,acres,0.26,"$508,500",508500.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/2501-Woodridge-Pl-Champaign-IL-61822/3199477_zpid/,,61822,3199477
"1007 Holiday Dr, Champaign, IL 61821",1479.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/435590aba580f7b22bca30000001eb06-p_e.jpg,40.10536,-88.27827,sqft,7150.0,"$195,000",195000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1007-Holiday-Dr-Champaign-IL-61821/3229259_zpid/,,61821,3229259
"1503 Summit Ridge Rd, Champaign, IL 61821",1048.0,1.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a177ff4b4574ee961d75bf168663caf2-p_e.jpg,40.13133,-88.27626,sqft,6500.0,"$149,900",149900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1503-Summit-Ridge-Rd-Champaign-IL-61821/3220272_zpid/,,61821,3220272
"2012 Byrnebruk Dr, Champaign, IL 61822",2359.0,5.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1ef1beb82da48b04894b9d96bbb8e767-p_e.jpg,40.09115,-88.30731,acres,0.3,"$689,000",689000.0,IL,New,FOR_SALE,https://www.zillow.com/homedetails/2012-Byrnebruk-Dr-Champaign-IL-61822/3197963_zpid/,,61822,3197963
"404 E Park St, Champaign, IL 61820",2092.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/52a60f69eda759924c626859d32b2519-p_e.jpg,40.11764,-88.2333,sqft,8712.0,"$179,900",179900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/404-E-Park-St-Champaign-IL-61820/3235290_zpid/,,61820,3235290
"1612 W Kirby Ave, Champaign, IL 61821",1454.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d69ab7c925a121289d6eb53c40bc3374-p_e.jpg,40.098442,-88.274124,sqft,8712.0,"$150,000",150000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1612-W-Kirby-Ave-Champaign-IL-61821/3227797_zpid/,,61821,3227797
"1403 Peppermill Ln, Champaign, IL 61822",1812.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/904cd4f150af7e03566b0567b8e97ed3-p_e.jpg,40.130157,-88.31229,sqft,7150.0,"$305,000",305000.0,IL,Price Change,FOR_SALE,https://www.zillow.com/homedetails/1403-Peppermill-Ln-Champaign-IL-61822/65290982_zpid/,,61822,65290982
"1914 Woodfield Rd, Champaign, IL 61822",2785.0,4.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/939b027018c2481655f637758d6bdc17-p_e.jpg,40.09285,-88.30764,,,"$475,000",475000.0,IL,New,FOR_SALE,https://www.zillow.com/homedetails/1914-Woodfield-Rd-Champaign-IL-61822/3197903_zpid/,,61822,3197903
"2410 Cherry Hills Dr, Champaign, IL 61822",2421.0,3.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cc9fa71c399470d42780b93689018ee8-p_e.jpg,40.082634,-88.28926,,,"$370,000",370000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/2410-Cherry-Hills-Dr-Champaign-IL-61822/3199490_zpid/,,61822,3199490
"1302 W Clark St, Champaign, IL 61821",1781.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c086fa0e72c6b9c249c4c4c4b8ae1804-p_e.jpg,40.115707,-88.267555,,,"$295,000",295000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1302-W-Clark-St-Champaign-IL-61821/3223453_zpid/,,61821,3223453
"2306 Winchester Dr, Champaign, IL 61821",1573.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0ab40f14c457fba5d928b3dc19538ba4-p_e.jpg,40.08622,-88.28123,sqft,6534.0,"$234,900",234900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/2306-Winchester-Dr-Champaign-IL-61821/3231875_zpid/,,61821,3231875
"910 W Park Ave, Champaign, IL 61821",2950.0,3.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8c7ba66c49be70597e961913ef74199d-p_e.jpg,40.117577,-88.25898,sqft,9575.28,"$395,000",395000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/910-W-Park-Ave-Champaign-IL-61821/3223800_zpid/,,61821,3223800
"809 S Victor St, Champaign, IL 61821",1348.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c829f192349aff2c0cbf4903279e8230-p_e.jpg,40.107197,-88.274124,sqft,10018.8,"$229,900",229900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/809-S-Victor-St-Champaign-IL-61821/3226737_zpid/,,61821,3226737
"1106 W Kirby Ave, Champaign, IL 61821",1804.0,2.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/afd7e68bbf36bab981510514c9df01a1-p_e.jpg,40.098526,-88.263695,acres,0.44000000000000006,"$284,900",284900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1106-W-Kirby-Ave-Champaign-IL-61821/3227985_zpid/,,61821,3227985
"1606 W Union St, Champaign, IL 61821",1550.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/17f1e6ad1955212ff2a5cb87d1f549ac-p_e.jpg,40.113857,-88.27311,acres,0.2938475665748393,"$175,000",175000.0,IL,New,FOR_SALE,https://www.zillow.com/homedetails/1606-W-Union-St-Champaign-IL-61821/3223367_zpid/,,61821,3223367
"2711 Bayhill Dr, Champaign, IL 61822",2088.0,3.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9dbf0c964d142f5d47b99d02d84c2c47-p_e.jpg,40.073807,-88.29186,,,"$359,900",359900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/2711-Bayhill-Dr-Champaign-IL-61822/3199790_zpid/,,61822,3199790
"57 Mary Ln, Champaign, IL 61822",2366.0,3.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/03023764d3b878966762d39c02e279cb-p_e.jpg,40.17225,-88.24355,acres,0.8300000000000001,"$295,000",295000.0,IL,Price Change,FOR_SALE,https://www.zillow.com/homedetails/57-Mary-Ln-Champaign-IL-61822/3201909_zpid/,,61822,3201909
"1211 English Oak Dr, Champaign, IL 61822",2930.0,5.0,6.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/43776eeba97a5f8be93f59521ab3be5d-p_e.jpg,40.103886,-88.326515,acres,0.27999999999999997,"$715,000",715000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1211-English-Oak-Dr-Champaign-IL-61822/89046285_zpid/,,61822,89046285
"2303 County Road 1100 E, Champaign, IL 61822",3007.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7eca815cfc14a39b8170f7e06f449fbb-p_e.jpg,40.215607,-88.25968,acres,6.67,"$550,000",550000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/2303-County-Road-1100-E-Champaign-IL-61822/3201785_zpid/,,61822,3201785
"412 Louisiana Ave, Champaign, IL 61820",1366.0,3.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2970824a73f6bed17528d447475b9a72-p_e.jpg,40.128216,-88.24968,,,"$74,900",74900.0,IL,House for sale,FOR_SALE,https://www.zillow.com/homedetails/412-Louisiana-Ave-Champaign-IL-61820/3219619_zpid/,,61820,3219619
"703 S Randolph St, Champaign, IL 61820",1511.0,1.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/347c3b79ee0869a8099eadc2d06e94b0-p_e.jpg,40.108765,-88.24519,sqft,3800.0,"$150,000",150000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/703-S-Randolph-St-Champaign-IL-61820/3225851_zpid/,,61820,3225851
"3204 Stanley Ln, Champaign, IL 61822",2197.0,3.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a4dce033b96166133c961265b43fdc2a-p_e.jpg,40.153534,-88.24947,sqft,5662.8,"$354,900",354900.0,IL,New,FOR_SALE,https://www.zillow.com/homedetails/3204-Stanley-Ln-Champaign-IL-61822/72587356_zpid/,,61822,72587356
"812 Dodds Dr, Champaign, IL 61820",3686.0,4.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f24b9665d183d0bbf550285e5797801c-p_e.jpg,40.099575,-88.2551,acres,1.53,"$1,390,000",1390000.0,IL,Price Change,FOR_SALE,https://www.zillow.com/homedetails/812-Dodds-Dr-Champaign-IL-61820/3226254_zpid/,,61820,3226254
"2801 Valley Brook Dr, Champaign, IL 61822",3007.0,3.0,5.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/670a1b9a46b6948ea835d6db620d6869-p_e.jpg,40.085915,-88.29006,sqft,10454.4,"$475,000",475000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/2801-Valley-Brook-Dr-Champaign-IL-61822/3231228_zpid/,,61822,3231228
"1607 W William St, Champaign, IL 61821",1234.0,1.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3340f7f5c39faa2c377d81d38888605e-p_e.jpg,40.106483,-88.273254,,,"$239,900",239900.0,IL,New,FOR_SALE,https://www.zillow.com/homedetails/1607-W-William-St-Champaign-IL-61821/3226796_zpid/,,61821,3226796
"508 Haines Blvd, Champaign, IL 61820",1656.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bd763ad3d7279c5b5da74e3aecbdcca4-p_e.jpg,40.103886,-88.25143,,,"$299,000",299000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/508-Haines-Blvd-Champaign-IL-61820/3226115_zpid/,,61820,3226115
"4703 W Kirby Ave, Champaign, IL 61822",7911.0,7.0,8.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4c92c42c7c477f7a3ee2cfc77f0c3778-p_e.jpg,40.09822,-88.324165,acres,2.13,"$1,850,000",1850000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/4703-W-Kirby-Ave-Champaign-IL-61822/3197518_zpid/,,61822,3197518
"2206 O'Donnell Dr, Champaign, IL 61821",2379.0,4.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f87013c8f2ad4cd6dbd8204a53ec581e-p_e.jpg,40.085728,-88.26716,sqft,10140.0,"$364,900",364900.0,IL,New,FOR_SALE,https://www.zillow.com/homedetails/2206-O'Donnell-Dr-Champaign-IL-61821/3232950_zpid/,,61821,3232950
"911 W Charles St, Champaign, IL 61821",1326.0,2.0,3.0,Champaign,,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=40.10602951049805,-88.25883483886719&key=AIzaSyBWYJWCA8FNMQvSe_k3LKfDGJaEgdKwsco&signature=KGtqJUPV4S4EI4u-p-yjYnmG5_k=",40.10603,-88.258835,sqft,1324.0,"$320,000",320000.0,IL,For sale by owner,FOR_SALE,https://www.zillow.com/homedetails/911-W-Charles-St-Champaign-IL-61821/3227472_zpid/,,61821,3227472
"314 Elmwood Dr, Champaign, IL 61821",1430.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0b0b910a48ea8fdca265fde87ca8732b-p_e.jpg,40.113655,-88.263405,,,"$259,900",259900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/314-Elmwood-Dr-Champaign-IL-61821/3223948_zpid/,,61821,3223948
"1904 Mullikin Dr, Champaign, IL 61822",3105.0,4.0,5.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b23dd44e76ecba68d697ae74e3ff7ff3-p_e.jpg,40.09202,-88.32144,,,"$569,900",569900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1904-Mullikin-Dr-Champaign-IL-61822/65292663_zpid/,,61822,65292663
"32 Greencroft Dr, Champaign, IL 61821",2644.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4d0ae80a2fbd3a0372c2b4d35cd026a0-p_e.jpg,40.100056,-88.25858,acres,0.6599999999999999,"$725,000",725000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/32-Greencroft-Dr-Champaign-IL-61821/3228020_zpid/,,61821,3228020
"1217 Foothill Dr, Champaign, IL 61821",2082.0,2.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6a43ef36737f86733c72a4bc1db2f565-p_e.jpg,40.09558,-88.26678,acres,0.3,"$299,900",299900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1217-Foothill-Dr-Champaign-IL-61821/3232288_zpid/,,61821,3232288
"1018 W Church St, Champaign, IL 61821",2952.0,3.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/368df84a856644be664cea85c515dc36-p_e.jpg,40.11857,-88.2622,sqft,7840.8,"$624,900",624900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1018-W-Church-St-Champaign-IL-61821/3223734_zpid/,,61821,3223734
"4111 Farhills Dr, Champaign, IL 61822",2564.0,4.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6f7f22c54712fa235096fa5dcf3fd129-p_e.jpg,40.085625,-88.31373,,,"$420,000",420000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/4111-Farhills-Dr-Champaign-IL-61822/3198301_zpid/,,61822,3198301
"907 W Church St, Champaign, IL 61821",2594.0,4.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7f9442340461a63621cb87ef700419bf-p_e.jpg,40.117943,-88.258766,sqft,9583.2,"$299,900",299900.0,IL,Price Change,FOR_SALE,https://www.zillow.com/homedetails/907-W-Church-St-Champaign-IL-61821/3223785_zpid/,,61821,3223785
"801 Erin Dr, Champaign, IL 61822",1486.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4d3d54dd52e4cb6ea94b300ed2459921-p_e.jpg,40.125572,-88.3041,acres,0.32999999999999996,"$255,000",255000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/801-Erin-Dr-Champaign-IL-61822/3221312_zpid/,,61822,3221312
"1806 Bentbrook Dr, Champaign, IL 61822",3111.0,3.0,5.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5e5d300f1871167330aaa9de1975580e-p_e.jpg,40.09506,-88.31094,,,"$699,000",699000.0,IL,New,FOR_SALE,https://www.zillow.com/homedetails/1806-Bentbrook-Dr-Champaign-IL-61822/3197802_zpid/,,61822,3197802
"604 Alabama Ave, Champaign, IL 61820",730.0,1.0,2.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/53fbb9caeef28eaeaab2f1ba02cb56a9-p_e.jpg,40.129066,-88.25216,sqft,6032.0,"$69,900",69900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/604-Alabama-Ave-Champaign-IL-61820/3219550_zpid/,,61820,3219550
"1801 Crescent Dr, Champaign, IL 61821",2146.0,2.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cbe335e8a2047b1f1cad4e0adf77b3b7-p_e.jpg,40.094463,-88.28353,,,"$249,900",249900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1801-Crescent-Dr-Champaign-IL-61821/3230850_zpid/,,61821,3230850
"3504 Mill Creek Ct, Champaign, IL 61822",2354.0,3.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c89dee8f56db61989171342939e293ed-p_e.jpg,40.069916,-88.292435,acres,0.5582644628099174,"$385,000",385000.0,IL,For sale by owner,FOR_SALE,https://www.zillow.com/homedetails/3504-Mill-Creek-Ct-Champaign-IL-61822/3199710_zpid/,,61822,3199710
"2410 Stillwater Dr, Champaign, IL 61821",1679.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/48b262817d199151576d557c0e187429-p_e.jpg,40.082687,-88.267136,,,"$319,000",319000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/2410-Stillwater-Dr-Champaign-IL-61821/3234118_zpid/,,61821,3234118
"4712 Watermark Dr, Champaign, IL 61822",2263.0,4.0,5.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/86c74188cedbdeee04329f758fdec481-p_e.jpg,40.087746,-88.32473,sqft,9600.0,"$479,000",479000.0,IL,Price Change,FOR_SALE,https://www.zillow.com/homedetails/4712-Watermark-Dr-Champaign-IL-61822/70052451_zpid/,,61822,70052451
"1202 Foothill Dr, Champaign, IL 61821",3302.0,4.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/da4634a9ad454032ee32bf7ac6244126-p_e.jpg,40.095203,-88.26446,acres,0.38,"$385,000",385000.0,IL,Price Change,FOR_SALE,https://www.zillow.com/homedetails/1202-Foothill-Dr-Champaign-IL-61821/3232308_zpid/,,61821,3232308
"4509 Nicklaus Dr, Champaign, IL 61822",1899.0,4.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ed60b73f68459d8e41e04a62c492fcf3-p_e.jpg,40.075974,-88.31993,sqft,4860.0,"$444,900",444900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/4509-Nicklaus-Dr-Champaign-IL-61822/443842930_zpid/,,61822,443842930
"1512 Cobblefield Rd, Champaign, IL 61822",2920.0,3.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6e9bb11c1358bd7a4ecb9aa37c3d57ae-p_e.jpg,40.099434,-88.307785,,,"$365,000",365000.0,IL,Price Change,FOR_SALE,https://www.zillow.com/homedetails/1512-Cobblefield-Rd-Champaign-IL-61822/3197466_zpid/,,61822,3197466
"806 Scottsdale Dr, Champaign, IL 61821",929.0,2.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5566a8d3e477016c77497c83c4c81201-p_e.jpg,40.107674,-88.28854,sqft,6608.55,"$249,999",249999.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/806-Scottsdale-Dr-Champaign-IL-61821/3228354_zpid/,,61821,3228354
"1305 N Walnut St, Champaign, IL 61820",1500.0,2.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/19176d02add4d88679d56360d0ae6963-p_e.jpg,40.129013,-88.24146,sqft,8712.0,"$150,000",150000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1305-N-Walnut-St-Champaign-IL-61820/3219894_zpid/,,61820,3219894
"2104 Wiggins St, Champaign, IL 61822",2990.0,4.0,5.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/708d2a16c16569c3aa415e5a1795afcd-p_e.jpg,40.089436,-88.32621,sqft,10790.0,"$530,000",530000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/2104-Wiggins-St-Champaign-IL-61822/70049071_zpid/,,61822,70049071
"3006 Countrybend Ln, Champaign, IL 61822",2360.0,4.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2e51fed61f6221ed9fec3dc25c02ad69-p_e.jpg,40.08016,-88.296364,sqft,10200.0,"$405,000",405000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/3006-Countrybend-Ln-Champaign-IL-61822/3234678_zpid/,,61822,3234678
"2317 Joseph St, Champaign, IL 61822",2168.0,3.0,5.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2585f71cb764acb89f96b0f015bbb1c3-p_e.jpg,40.086437,-88.32697,sqft,7986.0,"$479,000",479000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/2317-Joseph-St-Champaign-IL-61822/72581355_zpid/,,61822,72581355
"5017 Trey Blvd, Champaign, IL 61820",2506.0,3.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1f47932d8eed684b2acbea2edba9768d-p_e.jpg,40.099174,-88.33111,acres,0.2647842056932966,"$499,999",499999.0,IL,Price Change,FOR_SALE,https://www.zillow.com/homedetails/5017-Trey-Blvd-Champaign-IL-61820/89056460_zpid/,,61820,89056460
"606 W Springfield Ave, Champaign, IL 61820",1846.0,2.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0bcea8bb5ab975e2e7eff20beef065e8-p_e.jpg,40.112877,-88.252426,sqft,7434.0,"$270,000",270000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/606-W-Springfield-Ave-Champaign-IL-61820/3225161_zpid/,,61820,3225161
