address,addressCity,Zipcode,area,baths,beds,soldPrice,zestimate,latitude,longitude,livingArea,rentZestimate,daysOnZillow,homeType,median_income,bus_stops_1km,police_beat,restaurants_nearby,cafes_nearby,schools_nearby,parks_nearby,gyms_nearby,supermarkets_nearby,drive_to_uiuc_main_quad_min,drive_to_downtown_champaign_min,drive_to_carle_hospital_min,drive_to_memorial_stadium_min,drive_to_willard_airport_min
"1005 Page Dr, Champaign, IL 61821",Champaign,61821,2328,3.0,4.0,"$358,000",366800,40.084885,-88.25948,2328,2410,4,SINGLE_FAMILY,168646.0,41.0,23,4.0,0.0,10.0,4.0,1.0,0.0,11.2,8.983333333333333,12.216666666666667,7.383333333333334,9.216666666666667
"709 Lake Falls Blvd, Savoy, IL 61874",Savoy,61874,2822,5.0,5.0,"$724,000",724100,40.0413,-88.239006,2822,4044,4,SINGLE_FAMILY,161012.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,14.05,13.966666666666667,13.266666666666667,8.416666666666666,8.45
"1604 W Washington St, Champaign, IL 61821",Champaign,61821,1362,3.0,3.0,"$210,000",210100,40.120373,-88.27288,1362,1877,5,SINGLE_FAMILY,-666666666.0,40.0,14,20.0,4.0,4.0,6.0,4.0,0.0,9.433333333333334,6.183333333333334,10.583333333333334,10.45,13.066666666666666
"1008 W Healey St, Champaign, IL 61821",Champaign,61821,2398,3.0,4.0,"$399,900",400000,40.112007,-88.26098,2398,1971,5,SINGLE_FAMILY,64439.0,40.0,23,2.0,0.0,6.0,5.0,2.0,0.0,6.966666666666667,4.75,8.1,7.633333333333334,12.916666666666666
"1514 Lincolnwood Dr, Urbana, IL 61802",Urbana,61802,1421,1.0,4.0,"$110,000",110000,40.099785,-88.18476,1421,1721,5,SINGLE_FAMILY,55684.0,44.0,,7.0,1.0,5.0,4.0,3.0,1.0,11.516666666666667,13.316666666666666,7.25,6.866666666666666,17.483333333333334
"2705 E Main St, Urbana, IL 61802",Urbana,61802,1679,3.0,4.0,"$236,000",236100,40.112312,-88.171234,1679,2415,6,SINGLE_FAMILY,54583.0,18.0,,4.0,0.0,2.0,2.0,0.0,1.0,10.2,12.266666666666667,6.166666666666667,10.083333333333334,18.7
"305 W John St, Champaign, IL 61820",Champaign,61820,1105,1.0,3.0,"$227,000",227100,40.108757,-88.24746,1105,1695,6,SINGLE_FAMILY,64375.0,63.0,22,20.0,6.0,6.0,10.0,4.0,1.0,5.966666666666667,3.6333333333333333,7.116666666666666,5.566666666666666,13.483333333333333
"2612 Valkar Ln, Champaign, IL 61822",Champaign,61822,2030,4.0,3.0,"$220,000",220100,40.067802,-88.29053,2030,2879,7,SINGLE_FAMILY,126495.0,8.0,,2.0,0.0,1.0,0.0,0.0,0.0,15.0,13.533333333333333,15.483333333333333,10.633333333333333,6.216666666666667
"1808 Garden Hills Dr, Champaign, IL 61820",Champaign,61820,1086,1.0,3.0,"$110,000",110000,40.135223,-88.27255,1086,1364,7,SINGLE_FAMILY,59548.0,38.0,13,5.0,1.0,2.0,2.0,0.0,0.0,11.866666666666667,8.733333333333333,11.05,12.866666666666667,15.3
"1508 W University Ave, Champaign, IL 61821",Champaign,61821,2225,3.0,4.0,"$385,000",385100,40.116695,-88.271164,2225,2551,7,SINGLE_FAMILY,73967.0,37.0,14,20.0,6.0,7.0,6.0,4.0,0.0,8.05,4.783333333333333,9.2,9.066666666666666,12.8
"202 W Beardsley Ave, Champaign, IL 61820",Champaign,61820,1440,3.0,3.0,"$90,000",90000,40.12666,-88.245445,1440,1773,7,SINGLE_FAMILY,43346.0,34.0,12,19.0,0.0,11.0,10.0,3.0,0.0,7.5,3.2333333333333334,7.666666666666667,9.916666666666666,16.95
"606 S Elm St, Champaign, IL 61820",Champaign,61820,1393,1.0,3.0,"$235,000",235100,40.10948,-88.24972,1393,1688,7,SINGLE_FAMILY,43292.0,60.0,22,20.0,6.0,6.0,8.0,3.0,1.0,6.416666666666667,4.083333333333333,7.633333333333334,6.633333333333334,13.616666666666667
"1610 Cornell Dr, Champaign, IL 61821",Champaign,61821,1660,2.0,3.0,"$230,000",230100,40.103516,-88.27369,1660,1732,7,SINGLE_FAMILY,105607.0,35.0,23,11.0,4.0,10.0,8.0,1.0,0.0,10.516666666666667,8.3,11.666666666666666,8.266666666666667,10.45
"1802 Meadow Dr, Champaign, IL 61821",Champaign,61821,1481,2.0,4.0,"$223,000",223100,40.10014,-88.27687,1481,1774,7,SINGLE_FAMILY,-666666666.0,35.0,24,10.0,4.0,7.0,9.0,0.0,0.0,10.233333333333333,8.016666666666667,11.383333333333333,7.45,8.9
"1814 Meadow Dr, Champaign, IL 61820",Champaign,61820,824,1.0,2.0,"$115,000",115000,40.09961,-88.27768,824,1108,7,SINGLE_FAMILY,-666666666.0,35.0,24,9.0,3.0,7.0,9.0,0.0,0.0,10.433333333333334,8.216666666666667,11.566666666666666,7.65,9.1
"3104 Kimberly Dr, Champaign, IL 61821",Champaign,61821,919,1.0,3.0,"$130,500",130500,40.11137,-88.2984,919,1328,7,SINGLE_FAMILY,51297.0,23.0,24,1.0,0.0,1.0,2.0,1.0,0.0,12.233333333333333,10.016666666666667,13.383333333333333,11.683333333333334,12.183333333333334
"2904 Robeson Park Dr, Champaign, IL 61822",Champaign,61822,2960,3.0,4.0,"$305,000",305100,40.089916,-88.29252,2960,3296,7,SINGLE_FAMILY,118393.0,10.0,24,6.0,3.0,3.0,4.0,0.0,0.0,14.65,12.366666666666667,15.916666666666666,11.033333333333333,9.383333333333333
"2002 Bittersweet Dr, Champaign, IL 61821",Champaign,61821,1476,2.0,3.0,"$247,500",247600,40.084457,-88.277985,1476,1750,7,SINGLE_FAMILY,96250.0,5.0,24,0.0,0.0,1.0,1.0,0.0,0.0,13.016666666666667,10.8,13.933333333333334,9.083333333333334,7.633333333333334
"3905 Inverness Rd #3905, Champaign, IL 61822",Champaign,61822,1230,3.0,3.0,"$230,000",229800,40.106583,-88.31011,1230,1678,7,MULTI_FAMILY,60603.0,1.0,24,1.0,0.0,0.0,2.0,1.0,0.0,13.8,11.583333333333334,14.95,12.6,12.0
"8 Evergreen Cir APT D, Savoy, IL 61874",Savoy,61874,1208,2.0,2.0,"$159,900",160000,40.07523,-88.25237,1208,1504,8,CONDO,87534.0,27.0,,11.0,2.0,5.0,4.0,0.0,0.0,11.116666666666667,9.666666666666666,11.6,6.75,8.633333333333333
"706 Pheasant Ln, Savoy, IL 61874",Savoy,61874,2006,3.0,4.0,"$283,500",283600,40.06336,-88.25567,2006,2563,8,SINGLE_FAMILY,126458.0,31.0,,12.0,1.0,3.0,4.0,2.0,1.0,13.083333333333334,11.616666666666667,13.566666666666666,8.716666666666667,7.333333333333333
"1901 Beck Dr #1, Urbana, IL 61801",Urbana,61801,964,2.0,2.0,"$112,000",110500,40.13151,-88.1932,964,1480,8,CONDO,45513.0,25.0,,5.0,1.0,3.0,2.0,0.0,1.0,10.583333333333334,10.65,7.766666666666667,11.616666666666667,20.683333333333334
"3203 Timberline Dr, Champaign, IL 61822",Champaign,61822,1345,2.0,3.0,"$250,000",250100,40.127975,-88.29901,1345,1959,8,SINGLE_FAMILY,86667.0,37.0,14,0.0,0.0,0.0,1.0,1.0,0.0,13.45,10.333333333333334,14.666666666666666,14.333333333333334,14.85
"1108 N State St, Champaign, IL 61820",Champaign,61820,792,1.0,3.0,"$50,000",50000,40.127018,-88.24652,792,1216,12,SINGLE_FAMILY,43346.0,57.0,12,18.0,1.0,10.0,9.0,3.0,0.0,7.616666666666666,3.3333333333333335,7.766666666666667,10.033333333333333,16.4
"504 W Nevada St, Urbana, IL 61801",Urbana,61801,2634,4.0,4.0,"$415,000",415200,40.10683,-88.21352,2634,3481,12,SINGLE_FAMILY,34013.0,54.0,,20.0,15.0,9.0,7.0,5.0,2.0,6.4,9.433333333333334,3.2,4.9,16.766666666666666
"1901 N Lincoln Ave APT 316, Urbana, IL 61801",Urbana,61801,909,2.0,2.0,"$140,000",139800,40.129936,-88.2201,909,1413,12,CONDO,-666666666.0,14.0,,3.0,1.0,0.0,3.0,1.0,0.0,6.6,6.666666666666667,4.516666666666667,8.233333333333333,17.883333333333333
"1404 Stout Dr, Urbana, IL 61802",Urbana,61802,910,1.0,2.0,"$93,000",136900,40.110767,-88.19193,910,1195,13,SINGLE_FAMILY,60909.0,5.0,,4.0,0.0,4.0,4.0,1.0,0.0,9.083333333333334,11.683333333333334,5.05,8.716666666666667,20.116666666666667
"810 S Race St, Urbana, IL 61801",Urbana,61801,1723,2.0,4.0,"$222,000",222000,40.105816,-88.20849,1723,2179,13,SINGLE_FAMILY,63295.0,49.0,,20.0,10.0,10.0,4.0,4.0,2.0,7.083333333333333,10.133333333333333,3.433333333333333,5.416666666666667,16.833333333333332
"1308 Eastern Dr, Urbana, IL 61801",Urbana,61801,925,1.0,2.0,"$132,500",132600,40.10308,-88.19209,925,1390,18,SINGLE_FAMILY,96140.0,4.0,,8.0,1.0,7.0,3.0,3.0,1.0,10.283333333333333,12.783333333333333,6.25,7.05,17.55
"1211 Brad Dr #1211, Urbana, IL 61802",Urbana,61802,1360,2.0,2.0,"$169,000",169100,40.129585,-88.19395,1360,1655,19,CONDO,45513.0,27.0,,6.0,1.0,3.0,3.0,0.0,1.0,10.05,11.3,7.233333333333333,11.083333333333334,20.733333333333334
"1306 Champaign St, Champaign, IL 61820",Champaign,61820,882,1.0,2.0,"$80,000",72700,40.12856,-88.23999,882,1157,20,SINGLE_FAMILY,49589.0,39.0,11,9.0,1.0,5.0,12.0,3.0,0.0,7.183333333333334,4.066666666666666,7.333333333333333,9.583333333333334,18.1
"305 W Oregon St, Urbana, IL 61801",Urbana,61801,1814,2.0,3.0,"$270,000",270100,40.10726,-88.21088,1814,2188,20,SINGLE_FAMILY,34013.0,44.0,,20.0,13.0,10.0,7.0,6.0,3.0,7.116666666666666,10.15,3.8,5.733333333333333,17.133333333333333
"1903 N Lincoln Ave APT 116, Champaign, IL 61801",Champaign,61801,1403,3.0,3.0,"$165,000",165100,40.12945,-88.22175,1403,1943,20,CONDO,-666666666.0,12.0,,2.0,1.0,1.0,3.0,1.0,0.0,7.6,7.65,5.516666666666667,9.216666666666667,18.866666666666667
"1306 1/2 N Champaign St, Champaign, IL 61820",Champaign,61820,882,1.0,2.0,"$80,000",80000,40.129116,-88.23964,882,1169,22,SINGLE_FAMILY,49589.0,39.0,11,10.0,2.0,5.0,11.0,3.0,0.0,7.366666666666666,4.333333333333333,7.533333333333333,9.783333333333333,18.666666666666668
"108 W Stanage Ave, Champaign, IL 61820",Champaign,61820,1361,2.0,3.0,"$87,550",87600,40.105186,-88.24426,1361,1803,25,SINGLE_FAMILY,64375.0,48.0,22,20.0,9.0,3.0,9.0,3.0,1.0,6.35,3.9833333333333334,7.383333333333334,4.766666666666667,12.716666666666667
"2804 E Concord Rd, Urbana, IL 61802",Urbana,61802,3613,3.0,6.0,"$900,000",900500,40.13081,-88.1696,3613,3119,27,SINGLE_FAMILY,78500.0,12.0,,1.0,0.0,2.0,0.0,0.0,0.0,12.6,13.85,9.783333333333333,13.633333333333333,20.983333333333334
"707 Fairlawn Dr, Urbana, IL 61801",Urbana,61801,1188,2.0,2.0,"$185,000",159400,40.10331,-88.200096,1188,1622,27,SINGLE_FAMILY,84474.0,58.0,,8.0,3.0,9.0,5.0,1.0,1.0,8.933333333333334,11.833333333333334,5.116666666666666,5.7,17.1
"1901 N Lincoln Ave APT 117, Urbana, IL 61801",Urbana,61801,909,2.0,2.0,"$145,000",145300,40.129936,-88.2201,909,1413,27,CONDO,-666666666.0,24.0,,3.0,1.0,0.0,3.0,1.0,0.0,6.6,6.666666666666667,4.516666666666667,8.233333333333333,17.883333333333333
"1106 N 5th St, Champaign, IL 61820",Champaign,61820,852,1.0,,"$35,000",59700,40.12668,-88.23184,852,1333,29,SINGLE_FAMILY,33737.0,33.0,11,1.0,0.0,1.0,9.0,1.0,0.0,5.666666666666667,5.066666666666666,5.7,8.483333333333333,18.933333333333334
"511 E Columbia Ave, Champaign, IL 61820",Champaign,61820,1134,1.0,4.0,"$52,500",84700,40.12093,-88.2307,1134,1407,29,SINGLE_FAMILY,-666666666.0,50.0,11,20.0,9.0,3.0,10.0,5.0,2.0,4.616666666666666,4.066666666666666,4.983333333333333,7.683333333333334,17.9
"1003 Fairview Ave, Urbana, IL 61801",Urbana,61801,735,1.0,2.0,"$125,000",126500,40.119793,-88.220894,735,1162,29,SINGLE_FAMILY,32530.0,49.0,,16.0,9.0,3.0,7.0,1.0,0.0,4.733333333333333,5.333333333333333,3.1333333333333333,6.85,18.7
"1009 N Busey Ave, Urbana, IL 61801",Urbana,61801,830,1.0,2.0,"$160,000",160000,40.12167,-88.21734,830,1237,29,SINGLE_FAMILY,31691.0,43.0,,15.0,4.0,1.0,9.0,1.0,1.0,6.05,6.716666666666667,3.966666666666667,7.683333333333334,19.533333333333335
"708 S Walnut St, Urbana, IL 61801",Urbana,61801,1238,2.0,3.0,"$165,000",165000,40.106976,-88.20593,1238,1802,29,SINGLE_FAMILY,63295.0,30.0,,20.0,10.0,10.0,5.0,4.0,2.0,7.75,10.65,3.95,6.066666666666666,17.483333333333334
"1905 N Lincoln Ave APT 104, Urbana, IL 61801",Urbana,61801,909,2.0,2.0,"$145,000",145000,40.130077,-88.22115,909,1413,29,CONDO,-666666666.0,21.0,,2.0,1.0,0.0,2.0,1.0,0.0,7.716666666666667,7.783333333333333,5.633333333333334,9.333333333333334,19.0
"1303 Christopher Cir APT 8, Urbana, IL 61802",Urbana,61802,1016,1.0,2.0,"$100,000",100300,40.129875,-88.192085,1016,1337,32,CONDO,45513.0,26.0,,5.0,1.0,3.0,2.0,0.0,1.0,10.133333333333333,11.383333333333333,7.316666666666666,11.166666666666666,21.183333333333334
"906 Hollycrest Dr, Champaign, IL 61821",Champaign,61821,1599,2.0,4.0,"$205,000",205100,40.107185,-88.27969,1599,2121,8,SINGLE_FAMILY,87298.0,23.0,24,20.0,6.0,7.0,5.0,3.0,0.0,9.9,7.683333333333334,11.05,9.35,10.8
"1518 W University Ave, Champaign, IL 61821",Champaign,61821,1166,2.0,3.0,"$137,000",137100,40.116665,-88.27224,1166,1658,11,SINGLE_FAMILY,73967.0,37.0,14,20.0,6.0,7.0,6.0,4.0,0.0,8.366666666666667,5.116666666666666,9.516666666666667,9.383333333333333,12.333333333333334
"1313 W Ridge Ln, Champaign, IL 61822",Champaign,61822,1732,3.0,4.0,"$330,000",330300,40.129086,-88.31429,1732,2231,11,SINGLE_FAMILY,86667.0,11.0,14,0.0,0.0,0.0,1.0,0.0,0.0,15.5,12.383333333333333,16.716666666666665,16.383333333333333,16.0
"3912 Liberty Cir, Champaign, IL 61822",Champaign,61822,1703,2.0,3.0,"$362,500",362700,40.13186,-88.294945,1703,2384,11,SINGLE_FAMILY,60989.0,24.0,14,0.0,0.0,1.0,1.0,1.0,0.0,13.283333333333333,10.183333333333334,14.433333333333334,14.183333333333334,14.683333333333334
"1005 W John St, Champaign, IL 61821",Champaign,61821,1419,2.0,3.0,"$255,000",255000,40.10875,-88.26077,1419,1640,12,SINGLE_FAMILY,101667.0,24.0,23,1.0,0.0,4.0,3.0,2.0,0.0,7.433333333333334,5.216666666666667,8.583333333333334,6.65,12.1
"3305 Stoneway Ct, Champaign, IL 61822",Champaign,61822,1469,3.0,3.0,"$237,000",237200,40.133034,-88.30018,1469,2210,12,TOWNHOUSE,86667.0,23.0,14,0.0,0.0,0.0,0.0,1.0,0.0,16.6,13.483333333333333,17.816666666666666,17.483333333333334,17.333333333333332
"3811 Boulder Ridge Dr, Champaign, IL 61822",Champaign,61822,1555,2.0,3.0,"$335,000",335000,40.131214,-88.310265,1555,2265,12,SINGLE_FAMILY,86667.0,17.0,14,0.0,0.0,0.0,1.0,0.0,0.0,14.916666666666666,11.816666666666666,16.15,15.633333333333333,15.133333333333333
"705 Higgins Rd, Champaign, IL 61822",Champaign,61822,1785,2.5,3.0,"$120,000",194400,40.124615,-88.28962,1785,1891,13,TOWNHOUSE,60989.0,23.0,14,1.0,0.0,1.0,4.0,4.0,0.0,13.25,9.85,14.183333333333334,14.066666666666666,14.783333333333333
"3807 Sandstone Dr, Champaign, IL 61822",Champaign,61822,2449,3.0,4.0,"$360,000",359900,40.12967,-88.30978,2449,2556,13,SINGLE_FAMILY,86667.0,23.0,14,0.0,0.0,0.0,1.0,0.0,0.0,14.583333333333334,11.483333333333333,15.8,15.466666666666667,15.283333333333333
"904 Pomona Dr #904, Champaign, IL 61822",Champaign,61822,1080,2.0,3.0,"$140,000",140000,40.125076,-88.29313,1080,1431,13,CONDO,60989.0,38.0,14,0.0,0.0,1.0,4.0,3.0,0.0,13.383333333333333,9.983333333333333,14.316666666666666,14.083333333333334,14.6
"2601 Clayton Blvd, Champaign, IL 61822",Champaign,61822,1412,2.0,2.0,"$153,000",162500,40.12259,-88.28751,1412,1460,15,MULTI_FAMILY,60989.0,31.0,14,10.0,1.0,4.0,4.0,4.0,0.0,12.916666666666666,9.516666666666667,13.85,13.733333333333333,14.45
"816 N Prospect Ave, Champaign, IL 61820",Champaign,61820,897,1.0,3.0,"$120,000",120000,40.12441,-88.257545,897,1448,15,SINGLE_FAMILY,43346.0,52.0,12,14.0,1.0,5.0,7.0,1.0,1.0,7.816666666666666,4.55,8.966666666666667,8.816666666666666,14.483333333333333
"601 Erin Dr, Champaign, IL 61822",Champaign,61822,1713,3.0,3.0,"$282,500",282500,40.1225,-88.30342,1713,2424,18,SINGLE_FAMILY,94712.0,33.0,14,0.0,0.0,0.0,1.0,1.0,0.0,13.216666666666667,11.016666666666667,14.366666666666667,14.116666666666667,14.616666666666667
"1318 Myrtle Beach Ave, Champaign, IL 61822",Champaign,61822,1683,3.0,3.0,"$247,500",247700,40.129738,-88.3064,1683,2096,18,TOWNHOUSE,86667.0,31.0,14,0.0,0.0,0.0,2.0,0.0,0.0,15.166666666666666,12.066666666666666,16.4,16.066666666666666,15.883333333333333
"1320 Myrtle Beach Ave, Champaign, IL 61822",Champaign,61822,1683,3.0,3.0,"$247,500",247700,40.129856,-88.30644,1683,2096,18,TOWNHOUSE,86667.0,31.0,14,0.0,0.0,0.0,2.0,0.0,0.0,15.133333333333333,12.016666666666667,16.35,16.016666666666666,15.833333333333334
"510 Corey Ln, Champaign, IL 61822",Champaign,61822,1453,2.0,3.0,"$235,000",235100,40.15156,-88.25332,1453,2015,20,SINGLE_FAMILY,72438.0,17.0,12,14.0,1.0,2.0,1.0,0.0,2.0,12.183333333333334,8.75,11.5,14.6,17.566666666666666
"2801 Heritage Dr, Champaign, IL 61822",Champaign,61822,1230,2.0,3.0,"$180,000",180000,40.124832,-88.292145,1230,1836,21,TOWNHOUSE,60989.0,26.0,14,0.0,0.0,1.0,4.0,3.0,0.0,13.416666666666666,10.316666666666666,14.65,14.3,14.816666666666666
"808 W Green St, Champaign, IL 61820",Champaign,61820,2014,2.0,5.0,"$290,000",290400,40.110332,-88.256836,2014,2728,21,SINGLE_FAMILY,43292.0,42.0,22,2.0,2.0,7.0,4.0,1.0,0.0,6.683333333333334,4.366666666666666,7.916666666666667,6.683333333333334,12.35
"1212 Mimosa Dr, Champaign, IL 61821",Champaign,61821,880,1.0,3.0,"$80,000",80000,40.125263,-88.26677,880,1455,25,SINGLE_FAMILY,28438.0,37.0,14,14.0,1.0,3.0,7.0,0.0,1.0,10.766666666666667,7.633333333333334,11.916666666666666,11.783333333333333,15.95
"919 W John St, Champaign, IL 61821",Champaign,61821,1600,2.0,3.0,"$285,000",285600,40.10875,-88.2597,1600,1833,25,SINGLE_FAMILY,101667.0,5.0,23,1.0,0.0,4.0,3.0,2.0,0.0,7.283333333333333,5.066666666666666,8.433333333333334,6.5,12.233333333333333
"3901 Tallgrass Dr, Champaign, IL 61822",Champaign,61822,2195,4.0,5.0,"$330,000",330200,40.123337,-88.30843,2195,3514,25,SINGLE_FAMILY,94712.0,23.0,14,0.0,0.0,0.0,1.0,1.0,0.0,14.85,11.733333333333333,16.066666666666666,15.566666666666666,15.05
"920 W Vine St, Champaign, IL 61821",Champaign,61821,1172,1.0,3.0,"$166,000",166000,40.12241,-88.259735,1172,1359,27,SINGLE_FAMILY,-666666666.0,46.0,13,10.0,1.0,6.0,9.0,0.0,1.0,8.1,4.95,9.233333333333333,9.1,14.766666666666667
"4011 Pinecrest Dr, Champaign, IL 61822",Champaign,61822,3422,4.0,4.0,"$730,000",730200,40.094257,-88.313805,3422,4341,11,SINGLE_FAMILY,109132.0,24.0,,0.0,0.0,1.0,1.0,0.0,0.0,14.9,12.683333333333334,16.05,11.65,10.133333333333333
"601 Harpers Ferry, Savoy, IL 61874",Savoy,61874,1778,3.0,4.0,"$500,000",500200,40.060555,-88.26747,1778,2589,11,SINGLE_FAMILY,126458.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,15.8,14.35,16.283333333333335,11.45,5.8
"2303 Brookhaven Dr, Champaign, IL 61821",Champaign,61821,1136,2.0,3.0,"$110,000",110000,40.091976,-88.284065,1136,1630,12,SINGLE_FAMILY,96250.0,31.0,24,6.0,3.0,3.0,8.0,0.0,0.0,13.15,10.866666666666667,14.416666666666666,9.533333333333333,9.766666666666667
"25 Lange Ave, Savoy, IL 61874",Savoy,61874,2288,2.0,,"$141,500",215900,40.050354,-88.25594,2288,2537,14,SINGLE_FAMILY,82794.0,2.0,,3.0,0.0,1.0,4.0,1.0,0.0,14.3,12.833333333333334,14.783333333333333,9.933333333333334,6.216666666666667
"2510 Hathaway Dr, Champaign, IL 61821",Champaign,61821,1000,1.0,,"$150,000",176100,40.096443,-88.28914,1000,1453,18,SINGLE_FAMILY,118393.0,0.0,24,1.0,2.0,5.0,8.0,0.0,0.0,12.716666666666667,10.45,14.0,9.116666666666667,10.233333333333333
"2114 Harbortown Cir, Champaign, IL 61821",Champaign,61821,1207,1.0,2.0,"$175,000",162800,40.089466,-88.27336,1207,1381,18,CONDO,93068.0,1.0,23,7.0,2.0,7.0,3.0,0.0,0.0,13.116666666666667,10.916666666666666,14.266666666666667,9.583333333333334,8.383333333333333
"1921 Moraine Dr, Champaign, IL 61822",Champaign,61822,1460,2.0,4.0,"$415,000",415200,40.092007,-88.297966,1460,2247,20,SINGLE_FAMILY,109132.0,21.0,,2.0,3.0,2.0,5.0,0.0,0.0,14.3,12.016666666666667,15.583333333333334,10.7,9.366666666666667
"2610 Worthington Dr, Champaign, IL 61822",Champaign,61822,2300,3.0,4.0,"$369,500",369500,40.07968,-88.28935,2300,3179,20,SINGLE_FAMILY,126495.0,0.0,24,6.0,1.0,1.0,5.0,0.0,0.0,15.183333333333334,13.316666666666666,15.683333333333334,10.833333333333334,8.65
"1505 S Western Ave, Champaign, IL 61821",Champaign,61821,1525,1.5,3.0,"$135,000",185200,40.098488,-88.274704,1525,1650,20,SINGLE_FAMILY,105607.0,19.0,23,9.0,3.0,6.0,9.0,0.0,0.0,10.25,8.066666666666666,11.516666666666667,6.65,9.0
"2107 Woodland Glen Ln, Champaign, IL 61822",Champaign,61822,2313,3.0,4.0,"$340,000",340100,40.089226,-88.29456,2313,3343,21,SINGLE_FAMILY,118393.0,22.0,24,7.0,3.0,3.0,5.0,0.0,0.0,14.3,12.033333333333333,15.583333333333334,10.7,9.033333333333333
"705 W Kirby Ave, Champaign, IL 61820",Champaign,61820,2091,3.0,4.0,"$389,900",390100,40.09762,-88.254326,2091,2535,21,SINGLE_FAMILY,70039.0,7.0,22,20.0,6.0,10.0,3.0,2.0,0.0,7.833333333333333,6.183333333333334,9.1,4.216666666666667,10.866666666666667
"1704 Clover Ln, Champaign, IL 61821",Champaign,61821,925,1.0,3.0,"$165,000",165400,40.096245,-88.27943,925,1458,25,SINGLE_FAMILY,76006.0,23.0,24,9.0,3.0,8.0,9.0,0.0,0.0,12.066666666666666,9.85,13.216666666666667,8.533333333333333,8.833333333333334
"1203 Lancaster Dr, Champaign, IL 61821",Champaign,61821,1900,3.0,2.0,"$257,500",257600,40.081924,-88.26544,1900,1672,25,TOWNHOUSE,179609.0,30.0,23,3.0,0.0,5.0,2.0,1.0,0.0,12.3,10.566666666666666,12.8,7.95,8.466666666666667
